"UniqueID","Probability1"
6533,0.004
6534,0.118
6535,0.998
6536,0.552
6537,0.1
6538,0.836
6539,0.711
6540,0.009
6541,0.026
6542,0.001
6543,0.001
6544,0.594
6545,0
6546,0
6547,0
6548,0.852
6549,0.843
6550,0.403
6551,0.334
6552,0.014
6553,0.119
6554,0.082
6555,0.886
6556,0.002
6557,0
6558,0.588
6559,0
6560,0.749
6561,0.225
6562,0.002
6563,0.002
6564,0.015
6565,0
6566,0.057
6567,0.369
6568,0.959
6569,0.872
6570,0.004
6571,0.096
6572,0.692
6573,0.783
6574,0.917
6575,0.006
6576,0.684
6577,0
6578,0
6579,0.013
6580,0
6581,0.725
6582,0.002
6583,0
6584,0.123
6585,0.003
6586,0.161
6587,0.285
6588,0
6589,0
6590,0.171
6591,0.952
6592,0.077
6593,0
6594,0
6595,0
6596,0
6597,0.009
6598,0
6599,0
6600,0.501
6601,0.269
6602,0
6603,0
6604,0.216
6605,0.118
6606,0.902
6607,0.029
6608,0.792
6609,0.67
6610,0
6611,0.008
6612,0.477
6613,0
6614,0.016
6615,0
6616,0.037
6617,0.01
6618,0.02
6619,0.09
6620,0.001
6621,0.01
6622,0.008
6623,0.001
6624,0.004
6625,0.001
6626,0
6627,0
6628,0.059
6629,0.094
6630,0
6631,0.01
6632,0.257
6633,0.958
6634,0.076
6635,0.441
6636,0.326
6637,0.308
6638,0.266
6639,0.213
6640,0.261
6641,0.304
6642,0.28
6643,0.263
6644,0.254
6645,0.278
6646,0.325
6647,0.005
6648,0.024
6649,0.352
6650,0.811
6651,0
6652,0
6653,0.013
6654,0
6655,0.332
6656,0.162
6657,0.001
6658,0.036
6659,0.008
6660,0.528
6661,0
6662,0
6663,0.008
6664,0.059
6665,0.071
6666,0.081
6667,0.05
6668,0.014
6669,0
6670,0.707
6671,0.787
6672,0
6673,0.047
6674,0.026
6675,0.001
6676,0.002
6677,0.001
6678,0.003
6679,0
6680,0.809
6681,0.003
6682,0
6683,0.134
6684,0.159
6685,0.002
6686,0
6687,0.021
6688,0.962
6689,0.001
6690,0.002
6691,0.146
6692,0.259
6693,0
6694,0.901
6695,0.058
6696,0
6697,0.611
6698,0.006
6699,0.075
6700,0.001
6701,0.626
6702,0
6703,0.024
6704,0.026
6705,0.007
6706,0
6707,0.167
6708,0.003
6709,0.001
6710,0.011
6711,0.004
6712,0.001
6713,0.02
6714,0.001
6715,0.006
6716,0.001
6717,0.001
6718,0.301
6719,0.057
6720,0.949
6721,0
6722,0
6723,0.985
6724,0.124
6725,0.114
6726,0.266
6727,0.488
6728,0.815
6729,0
6730,0
6731,0.495
6732,0
6733,0
6734,0
6735,0.037
6736,0
6737,0.001
6738,0.246
6739,0.215
6740,0
6741,0.357
6742,0
6743,0.004
6744,0.173
6745,0.484
6746,0
6747,0
6748,0.016
6749,0.113
6750,0.868
6751,0.002
6752,0.152
6753,0.497
6754,0.001
6755,0
6756,0.006
6757,0.09
6758,0.161
6759,0.004
6760,0.019
6761,0.02
6762,0.005
6763,0.001
6764,0.713
6765,0.01
6766,0.003
6767,0
6768,0.084
6769,0.011
6770,0.071
6771,0
6772,0.02
6773,0.001
6774,0
6775,0.624
6776,0.015
6777,0.001
6778,0.007
6779,0.117
6780,0.886
6781,0.307
6782,0.073
6783,0.161
6784,0.003
6785,0.061
6786,0.097
6787,0.954
6788,0.215
6789,0.028
6790,0.02
6791,0
6792,0
6793,0.251
6794,0
6795,0.019
6796,0.008
6797,0.003
6798,0.005
6799,0.017
6800,0.034
6801,0.011
6802,0
6803,0
6804,0.004
6805,0
6806,0
6807,0.992
6808,0.998
6809,0.018
6810,0.904
6811,0.003
6812,0.023
6813,0
6814,0.012
6815,0.059
6816,0.249
6817,0.211
6818,0.002
6819,0.884
6820,0.033
6821,0.002
6822,0.009
6823,0.325
6824,0.217
6825,0.935
6826,0
6827,0.001
6828,0
6829,0.063
6830,0.054
6831,0.168
6832,0.01
6833,0.011
6834,0
6835,0.911
6836,0.003
6837,0.125
6838,0.31
6839,0.001
6840,0
6841,0
6842,0.001
6843,0
6844,0.711
6845,0.969
6846,0
6847,0.069
6848,0.005
6849,0.004
6850,0.248
6851,0.001
6852,0.583
6853,0
6854,0.001
6855,0.006
6856,0.001
6857,0.124
6858,0
6859,0.734
6860,0.777
6861,0.001
6862,0
6863,0.141
6864,0.123
6865,0.049
6866,0.606
6867,0.274
6868,0.013
6869,0.469
6870,0.232
6871,0
6872,0.011
6873,0.092
6874,0.282
6875,0.003
6876,0.111
6877,0.247
6878,0.309
6879,0.058
6880,0
6881,0.087
6882,0.002
6883,0
6884,0.038
6885,0.867
6886,0.003
6887,0
6888,0.031
6889,0.015
6890,0.001
6891,0.029
6892,0
6893,0.019
6894,0
6895,0
6896,0
6897,0.006
6898,0.005
6899,0.005
6900,0
6901,0
6902,0.003
6903,0.258
6904,0.999
6905,0.019
6906,0.034
6907,0.049
6908,0.008
6909,0.103
6910,0.002
6911,0.003
6912,0
6913,0.139
6914,0.033
6915,0
6916,0
6917,0
6918,0.366
6919,0.04
6920,0.292
6921,0.723
6922,0.054
6923,0
6924,0.061
6925,0.516
6926,0
6927,0.861
6928,0
6929,0.001
6930,0
6931,0.065
6932,0
6933,0
6934,0.794
6935,0.384
6936,0
6937,0.001
6938,0.098
6939,0
6940,0.829
6941,0.115
6942,0
6943,0.544
6944,0
6945,0
6946,0.051
6947,0.096
6948,0
6949,0.003
6950,0.237
6951,0.435
6952,0.017
6953,0.568
6954,0.055
6955,0.124
6956,0.42
6957,0
6958,0
6959,0.001
6960,0.228
6961,0
6962,0.004
6963,0.528
6964,0.011
6965,0.068
6966,0.162
6967,0.964
6968,0.051
6969,0.002
6970,0.018
6971,0.121
6972,0.5
6973,0.104
6974,0
6975,0.011
6976,0.286
6977,0.003
6978,0
6979,0.129
6980,0
6981,0
6982,0.246
6983,0.019
6984,0.001
6985,0.03
6986,0.001
6987,0
6988,0
6989,0
6990,0.778
6991,0.003
6992,0.016
6993,0.004
6994,0.078
6995,0.001
6996,0.005
6997,0
6998,0.005
6999,0
7000,0.198
7001,0.005
7002,0.862
7003,0.967
7004,0.076
7005,0.833
7006,0
7007,0
7008,0.003
7009,0.965
7010,0
7011,0.026
7012,0.943
7013,0.023
7014,0.586
7015,0.003
7016,0.918
7017,0.204
7018,0.282
7019,0.141
7020,0.35
7021,0.7
7022,0.88
7023,0.911
7024,0.989
7025,0.001
7026,0.705
7027,0.007
7028,0.019
7029,0
7030,0.449
7031,0.019
7032,0.209
7033,0.002
7034,0.305
7035,0.372
7036,0.063
7037,0.998
7038,0.298
7039,0.164
7040,0.107
7041,0
7042,0.001
7043,0.032
7044,0.403
7045,0.479
7046,0
7047,0.955
7048,0.858
7049,0.245
7050,0.001
7051,0.034
7052,0.212
7053,0.135
7054,0.06
7055,0.005
7056,0.609
7057,0.13
7058,0.339
7059,0.045
7060,0
7061,0.957
7062,0.006
7063,0
7064,0.053
7065,0.089
7066,0.489
7067,0.003
7068,0
7069,0
7070,0.144
7071,0.114
7072,0.961
7073,0.156
7074,0.002
7075,0.341
7076,0.024
7077,0
7078,0.19
7079,0.414
7080,0
7081,0.302
7082,0.732
7083,0
7084,0.629
7085,0.001
7086,0.005
7087,0.964
7088,0.001
7089,0.552
7090,0.001
7091,0
7092,0.076
7093,0.009
7094,0.005
7095,0.412
7096,0.004
7097,0.89
7098,0.295
7099,0
7100,0.001
7101,0
7102,0
7103,0.238
7104,0.002
7105,0
7106,0.034
7107,0.007
7108,0.008
7109,0.03
7110,0.007
7111,0.022
7112,0.002
7113,0.048
7114,0.003
7115,0.001
7116,0.53
7117,0.056
7118,0.242
7119,0
7120,0.992
7121,0.195
7122,0.032
7123,0.145
7124,0.265
7125,0
7126,0.141
7127,0.015
7128,0
7129,0.014
7130,0.006
7131,0.866
7132,0.218
7133,0.013
7134,0.166
7135,0.03
7136,0.275
7137,0
7138,0.647
7139,0
7140,0.233
7141,0.885
7142,0.003
7143,0.019
7144,0.006
7145,0.626
7146,0.001
7147,0.001
7148,0.928
7149,0
7150,0.833
7151,0.396
7152,0.056
7153,0.046
7154,0.007
7155,0.135
7156,0
7157,0.001
7158,0.162
7159,0
7160,0.001
7161,0.018
7162,0.132
7163,0.698
7164,0.077
7165,0
7166,0.013
7167,0
7168,0
7169,0
7170,0
7171,0.001
7172,0.004
7173,0.002
7174,0.006
7175,0.149
7176,0.368
7177,0.024
7178,0.956
7179,0.101
7180,0.744
7181,0.267
7182,0.02
7183,0
7184,0.001
7185,0.921
7186,0.679
7187,0
7188,0.878
7189,0.008
7190,0.001
7191,0.009
7192,0.008
7193,0
7194,0.033
7195,0
7196,0.109
7197,0.005
7198,0.001
7199,0
7200,0
7201,0
7202,0.271
7203,0.084
7204,0
7205,0
7206,0.222
7207,0.019
7208,0.941
7209,0.021
7210,0.385
7211,0.027
7212,0.148
7213,0.223
7214,0.073
7215,0.001
7216,0.065
7217,0.294
7218,0.548
7219,0
7220,0.28
7221,0.009
7222,0.022
7223,0.003
7224,0
7225,0.159
7226,0.002
7227,0.013
7228,0.008
7229,0.854
7230,0.686
7231,0.016
7232,0.256
7233,0.331
7234,0.227
7235,0
7236,0.026
7237,0
7238,0.881
7239,0.001
7240,0.001
7241,0.142
7242,0.948
7243,0.147
7244,0
7245,0.046
7246,0.001
7247,0.002
7248,0.78
7249,0
7250,0.11
7251,0.014
7252,0.018
7253,0
7254,0.297
7255,0.621
7256,0.353
7257,0.001
7258,0.717
7259,0.134
7260,0.001
7261,0.003
7262,0.27
7263,0.041
7264,0.183
7265,0.299
7266,0.361
7267,0.001
7268,0.61
7269,0.003
7270,0
7271,0.17
7272,0
7273,0.283
7274,0.341
7275,0.021
7276,0.053
7277,0.035
7278,0.04
7279,0.087
7280,0
7281,0.002
7282,0.089
7283,0
7284,0.001
7285,0.101
7286,0.014
7287,0.002
7288,0.87
7289,0
7290,0.98
7291,0.162
7292,0
7293,0.022
7294,0.002
7295,0.043
7296,0
7297,0
