"UniqueID","Probability1"
6533,0.021
6534,0.106
6535,0.995
6536,0.463
6537,0.088
6538,0.84
6539,0.835
6540,0.004
6541,0.075
6542,0
6543,0
6544,0.85
6545,0.001
6546,0
6547,0
6548,0.879
6549,0.875
6550,0.363
6551,0.269
6552,0.034
6553,0.069
6554,0.096
6555,0.885
6556,0
6557,0
6558,0.469
6559,0
6560,0.829
6561,0.513
6562,0.001
6563,0
6564,0.013
6565,0
6566,0.031
6567,0.327
6568,0.967
6569,0.885
6570,0.002
6571,0.096
6572,0.719
6573,0.775
6574,0.95
6575,0.005
6576,0.906
6577,0
6578,0
6579,0.015
6580,0.001
6581,0.494
6582,0.002
6583,0.002
6584,0.077
6585,0
6586,0.143
6587,0.179
6588,0
6589,0
6590,0.116
6591,0.904
6592,0.089
6593,0
6594,0.001
6595,0.001
6596,0
6597,0.008
6598,0
6599,0
6600,0.716
6601,0.214
6602,0
6603,0
6604,0.102
6605,0.106
6606,0.936
6607,0.007
6608,0.892
6609,0.65
6610,0
6611,0.007
6612,0.481
6613,0
6614,0.015
6615,0
6616,0.017
6617,0.003
6618,0.021
6619,0.062
6620,0
6621,0.006
6622,0.012
6623,0
6624,0.006
6625,0.003
6626,0
6627,0
6628,0.018
6629,0.065
6630,0
6631,0.054
6632,0.323
6633,0.952
6634,0.045
6635,0.532
6636,0.383
6637,0.354
6638,0.304
6639,0.192
6640,0.223
6641,0.36
6642,0.286
6643,0.339
6644,0.292
6645,0.02
6646,0.293
6647,0.028
6648,0.027
6649,0.299
6650,0.897
6651,0
6652,0
6653,0.036
6654,0.003
6655,0.352
6656,0.194
6657,0.003
6658,0.015
6659,0.009
6660,0.764
6661,0
6662,0
6663,0.012
6664,0.349
6665,0.015
6666,0.081
6667,0.05
6668,0.021
6669,0.003
6670,0.859
6671,0.75
6672,0
6673,0.043
6674,0.019
6675,0.002
6676,0
6677,0.001
6678,0.002
6679,0
6680,0.857
6681,0.001
6682,0.001
6683,0.086
6684,0.216
6685,0
6686,0
6687,0.017
6688,0.953
6689,0.001
6690,0.001
6691,0.062
6692,0.187
6693,0
6694,0.895
6695,0.058
6696,0
6697,0.538
6698,0.001
6699,0.112
6700,0.001
6701,0.624
6702,0
6703,0.011
6704,0.01
6705,0.002
6706,0
6707,0.157
6708,0
6709,0
6710,0.009
6711,0.007
6712,0.001
6713,0.005
6714,0.009
6715,0.007
6716,0
6717,0
6718,0.28
6719,0.056
6720,0.941
6721,0
6722,0.001
6723,0.984
6724,0.09
6725,0.724
6726,0.189
6727,0.238
6728,0.923
6729,0
6730,0
6731,0.434
6732,0
6733,0
6734,0.004
6735,0.042
6736,0
6737,0.002
6738,0.288
6739,0.189
6740,0
6741,0.314
6742,0
6743,0.007
6744,0.046
6745,0.409
6746,0.004
6747,0.001
6748,0.008
6749,0.048
6750,0.907
6751,0
6752,0.145
6753,0.393
6754,0.003
6755,0
6756,0.002
6757,0.151
6758,0.095
6759,0.002
6760,0.018
6761,0.017
6762,0.001
6763,0
6764,0.677
6765,0.02
6766,0
6767,0
6768,0.035
6769,0.028
6770,0.024
6771,0.001
6772,0.022
6773,0
6774,0
6775,0.639
6776,0.009
6777,0.001
6778,0.007
6779,0.072
6780,0.97
6781,0.223
6782,0.051
6783,0.028
6784,0.011
6785,0.035
6786,0.058
6787,0.975
6788,0.11
6789,0.062
6790,0.002
6791,0
6792,0
6793,0.34
6794,0
6795,0.041
6796,0
6797,0
6798,0.005
6799,0.018
6800,0.002
6801,0.006
6802,0.003
6803,0
6804,0
6805,0
6806,0
6807,0.56
6808,0.999
6809,0.001
6810,0.977
6811,0
6812,0.095
6813,0
6814,0.004
6815,0.05
6816,0.223
6817,0.073
6818,0.001
6819,0.93
6820,0.008
6821,0.006
6822,0.026
6823,0.202
6824,0.396
6825,0.971
6826,0
6827,0
6828,0
6829,0.091
6830,0.029
6831,0.039
6832,0.039
6833,0.002
6834,0
6835,0.928
6836,0.002
6837,0.068
6838,0.009
6839,0.001
6840,0
6841,0
6842,0.001
6843,0
6844,0.752
6845,0.968
6846,0
6847,0.176
6848,0
6849,0.004
6850,0.231
6851,0.001
6852,0.564
6853,0.002
6854,0.009
6855,0.005
6856,0.002
6857,0.094
6858,0
6859,0.74
6860,0.511
6861,0
6862,0.001
6863,0.129
6864,0.408
6865,0.015
6866,0.547
6867,0.347
6868,0.022
6869,0.642
6870,0.046
6871,0.005
6872,0.027
6873,0.121
6874,0.238
6875,0
6876,0.028
6877,0.167
6878,0.227
6879,0.049
6880,0
6881,0.008
6882,0.001
6883,0.001
6884,0.002
6885,0.939
6886,0.001
6887,0
6888,0.026
6889,0.019
6890,0.002
6891,0.034
6892,0
6893,0.015
6894,0.001
6895,0
6896,0.005
6897,0.038
6898,0.003
6899,0
6900,0
6901,0
6902,0.001
6903,0.218
6904,0.992
6905,0.022
6906,0.038
6907,0.045
6908,0.005
6909,0.09
6910,0.001
6911,0.004
6912,0
6913,0.11
6914,0.043
6915,0.002
6916,0
6917,0.001
6918,0.382
6919,0.04
6920,0.143
6921,0.847
6922,0.083
